P02144,P02166,P02150,P02165,P02189,P68084,P68086,P68085,P02147,P20856,P02145,A0A024R1G3,A0A1K0FU49,F2Z2F1,A0A2J8QPD0,B0QYF8,A0A2K6NL17,R9RZM3,A0A3Q7VSZ0,A0A6P3EQL6,A0A6I9IAX0,F6PMG4,A0A250XVB6,A0A1K0GGA6,G7N3Q2,G7PFA9,A0A2K6DJM1,R9S070,R9RZA9,A0A2T4CW89,A0A2K5NML8,A0A0D9R744,A0A2K5YL59,A0A2K6M9S1,A0A2K5JJ98,G3R764,R9RZ90,A0A6G1B1B0,A0A091D6D3,A0A663D630,A0A2J8QPC5,A0A2R9BL13,A0A2J8QPC2,A0A2J8QPD7,A0A2J8QPB9,UPI000C2AAD7E,UPI000C29E88A,UPI00136447F5,UPI000CEFDAE9
908, ,915,911,914,911,911,911,910,892,903,880,908,591,591,833,907,920,920,898,934,903,920,915,915,915,915,899,76,686,911,911,911,911,904,910,886,915,887,903,903,903,828,372,536,830,910,874,875
949,915, ,923,940,976,976,976,941,914,944,921,949,630,630,874,972,935,935,914,922,939,922,980,980,980,980,905,76,714,976,976,976,976,965,941,897,923,909,944,944,944,869,370,538,891,971,925,930
921,911,923, ,948,924,924,924,923,928,916,893,921,610,610,846,920,944,944,930,939,903,926,923,923,923,923,905,68,710,924,924,924,924,922,923,897,949,923,916,916,916,841,363,516,843,923,887,888
938,914,940,948, ,941,941,941,940,936,933,910,938,617,617,863,937,958,958,941,943,924,929,940,940,940,940,919,72,743,941,941,941,941,939,940,905,946,931,933,933,933,858,367,530,860,940,904,905
953,911,976,924,941, ,980,980,945,914,948,925,953,634,634,878,976,936,936,914,923,935,918,976,976,976,976,905,76,715,980,980,980,980,969,945,901,924,909,948,948,948,873,374,542,895,975,929,934
953,911,976,924,941,980, ,980,945,914,948,925,953,634,634,878,976,936,936,914,923,935,918,976,976,976,976,905,76,715,980,980,980,980,969,945,901,924,909,948,948,948,873,374,542,895,975,929,934
953,911,976,924,941,980,980, ,945,914,948,925,953,634,634,878,976,936,936,914,923,935,918,976,976,976,976,905,76,715,980,980,980,980,969,945,901,924,909,948,948,948,873,374,542,895,975,929,934
981,910,941,923,940,945,945,945, ,913,976,953,981,632,632,897,941,935,935,916,922,914,921,941,941,941,941,904,76,706,945,945,945,945,949,986,905,923,913,976,976,976,892,390,572,875,955,947,937
911,892,914,928,936,914,914,914,913, ,909,883,911,597,597,836,910,927,927,934,903,898,907,914,914,914,914,892,64,711,914,914,914,914,912,913,891,924,940,909,909,909,834,355,514,833,913,877,878
984,903,944,916,933,948,948,948,976,909, ,956,984,640,640,900,944,928,928,906,915,917,914,944,944,944,944,897,76,701,948,948,948,948,952,976,895,916,906,992,992,992,908,398,580,878,958,950,940
